Acronym,Definition,Source(s)
(X)GMD,(X-ray) Gas Monitor Detector,XTES_Energy_Monitors_FRS.pdf page 2
1D,one Dimensional,CDR-full.pdf page 507
1oo2,One out of Two,FMEA_For_the_BCS_Average_Current_Monitor.pdf page 1
2 K,"Nominally 2 Kelvin temperature level, 2.0 K",1.3_GHz_Cryomodule_Technical_Description.pdf page 3
2D,two Dimensional,CDR-full.pdf page 507
2K.CB,2K Cold Box,LCLS-II_2K_Cold_box_Assembly.pdf page 4
2KHX,"A low temperature heat exchanger providing sub-cooling to the 2 K nominal SRF cavity supply, often referred to as a Joule-Thomson heat exchanger",LCLSII-HE-1.3-TS-0393.pdf page 5
3D,three Dimensional,CDR-full.pdf page 507
45 K,"Nominally 45 Kelvin temperature level, which ranges from approximately 35 K to 55 K. (Note that this cryogenic circuit and thermal shield will be ~80 K in test facilities with LN2.)",1.3_GHz_Cryomodule_Technical_Description.pdf page 3
5 K,"Nominally 5 Kelvin temperature level, which ranges approximately from 5.5 K to 7.5 K",1.3_GHz_Cryomodule_Technical_Description.pdf page 3
6D,six Dimensional,CDR-full.pdf page 507
71kHz,"Subharmonic of 1300MHz and 476MHz, with respective factors of 18200 and 6664, used for locking the phase relationship of the timing references.",LCLS-II_Phase_Reference_and_Timing_System.pdf page 2
A-C,Asbestos Cement,Fire_Hazard_Analysis.pdf page 35
A.R.O.,After Receipt of Order,Adjustable_Apertures__SOW.pdf page 2
A/E,Architect Engineer,LCLSII-HE-1.6-SW-0433.pdf page 3
A/E,Architect and Engineering Consulting Firm,Engineering_Design_Services_for_Cold_Box_Room_Platform_Modifications.pdf page 3
A/E,Architect Engineer Consulting Firm,CryoPlant_Install_AE_Engr_Design_Assist.pdf page 3
A/E,Architect and Engineering Firm,A-E_Services_NEH_Reconfiguration_SOW.pdf page 4
AA,Adjustable Apertures (Assembly),Adjustable_Apertures__SOW.pdf page 2
AA,Adjustable Aperture,Single_Slit_Absorber_ESD.pdf page 4
AA1,Adjustable Aperture (Design #1),LCLS-II_X-ray_Transport_and_Experimental_Systems_Controls_Engineering_Specifications.pdf page 3
